,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,804,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-05-05T01:14:00.000Z,2.47905468013094e-05,714667007.1895485,-1.0261,-0.96240724,0.18889122,-0.08215556,-10.01295432,-23.64344922,181.36931211,14608806718.268057,0.6235,14614872362.13,,2024-05-05T01:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-05-04 18:16:04.849254
11,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,380323893.6559913,439013533.6559913,False,,12,,,,2024-05-05T01:14:00.000Z,37.443093185620285,392463703.23333526,25.2417,0.2991151,5.14513844,7.91473147,-19.28954067,-3.98912913,8.75006377,14240502990.879223,0.6077,26799845983.01,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
12,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87522517978.94867,87522511525.40675,True,,13,71659659264.0,8728063433.535898,,2024-05-05T01:14:00.000Z,0.12179884084267,227852115.0563162,-17.4328,-0.40387024,-0.7281118,1.35627177,2.06179368,-10.80353653,2.95126796,10660141237.467691,0.4549,10660140451.43,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
13,6636,Polkadot,DOT,polkadot-new,755,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,,,,2024-05-05T01:15:00.000Z,7.130548151316022,157624657.82377574,-40.106,0.1271343,-1.15241974,4.09072323,-16.01604872,-23.07137129,7.97480805,10253396181.72072,0.4376,10253396181.72,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:16:04.849254
14,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19701268.75,19701268.75,False,,15,,,,2024-05-05T01:14:00.000Z,461.6221084699682,327370187.7283606,-15.177,-0.20930159,-0.71859067,-3.56848995,-31.10722763,16.40480018,96.93219005,9094541219.908495,0.3881,9694064277.87,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
0,1,Bitcoin,BTC,bitcoin,11023,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19694140.0,19694140.0,False,,1,,,,2024-05-05T01:15:00.000Z,63375.50819204601,20648784840.757282,-37.4493,-1.03010107,0.78696772,-0.32976668,-7.4480245,-0.25103427,49.93468482,1248126130905.301,53.279,1330885672032.97,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:17:05.153095
1,1027,Ethereum,ETH,ethereum,8896,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120097745.02430749,120097745.02430749,True,,2,,,,2024-05-05T01:15:00.000Z,3100.665772652674,8459225922.729386,-33.9137,-0.58452961,-0.46850821,-4.82689267,-6.69519336,-12.83249213,36.51306969,372382967369.63824,15.8923,372382967369.64,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:17:05.153095
2,825,Tether USDt,USDT,tether,84641,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,110769088394.96867,113086550461.5168,True,,3,,,,2024-05-05T01:15:00.000Z,1.0002184982166658,39523975122.415565,-26.8888,0.00622201,-0.03009033,0.08563522,-0.02864807,-0.08132577,0.06212138,110793291243.24466,4.7284,113111259671.12,,2024-05-05T01:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-05-04 18:17:05.153095
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587440.97924352,147587440.97924352,False,,4,,,,2024-05-05T01:15:00.000Z,583.6236768338657,582565776.3512173,-31.0064,-0.4970713,-0.51730752,-2.61647434,-1.23417108,48.54206325,92.25307579,86135524958.80725,3.6769,86135524958.81,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:17:05.153095
4,5426,Solana,SOL,solana,656,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,447324278.9776525,575227939.6930976,True,,5,,,,2024-05-05T01:15:00.000Z,144.9572459573877,3072644610.8542767,-4.8282,-1.120486,0.76812261,2.12479004,-21.2465,17.12058914,53.37658991,64842895530.474686,2.7673,83383457935.65,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:17:05.153095
